Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,Low Fat,0.016047301,Dairy,249,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735
DRC01,5.92,Regular,0.019278216,Soft Drinks,48,OUT018,2009,Medium,Tier 3,Supermarket Type2,443
FDN15,17.5,Low Fat,0.016760075,Meat,141,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097
FDX07,19.2,Regular,0,Fruits and Vegetables,182,OUT010,1998,,Tier 3,Grocery Store,732
NCD19,8.93,Low Fat,0,Household,53,OUT013,1987,High,Tier 3,Supermarket Type1,994
FDP36,10.395,Regular,0,Baking Goods,51,OUT018,2009,Medium,Tier 3,Supermarket Type2,556
FDO10,13.65,Regular,0.012741089,Snack Foods,57,OUT013,1987,High,Tier 3,Supermarket Type1,343
FDP10,,Low Fat,0.127469857,Snack Foods,107,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022
FDH17,16.2,Regular,0.016687114,Frozen Foods,96,OUT045,2002,,Tier 2,Supermarket Type1,1076
FDU28,19.2,Regular,0.09444959,Frozen Foods,187,OUT017,2007,,Tier 2,Supermarket Type1,4710
FDY07,11.8,Low Fat,0,Fruits and Vegetables,45,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516
FDA03,18.5,Regular,0.045463773,Dairy,144,OUT046,1997,Small,Tier 1,Supermarket Type1,2187
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589
FDS46,17.6,Regular,0.047257328,Snack Foods,119,OUT046,1997,Small,Tier 1,Supermarket Type1,2145
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196,OUT013,1987,High,Tier 3,Supermarket Type1,1977
FDP49,9,Regular,0.069088961,Breakfast,56,OUT046,1997,Small,Tier 1,Supermarket Type1,1547
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621
FDP49,9,Regular,0.069196376,Breakfast,54,OUT049,1999,Medium,Tier 1,Supermarket Type1,718
DRI11,,Low Fat,0.034237682,Hard Drinks,113,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303
FDU02,13.35,Low Fat,0.10249212,Dairy,230,OUT035,2004,Small,Tier 2,Supermarket Type1,2748
FDN22,18.85,Regular,0.138190277,Snack Foods,250,OUT013,1987,High,Tier 3,Supermarket Type1,3775
FDW12,,Regular,0.035399923,Baking Goods,144,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064
NCB30,14.6,Low Fat,0.025698134,Household,196,OUT035,2004,Small,Tier 2,Supermarket Type1,1587
FDC37,,Low Fat,0.057556998,Baking Goods,107,OUT019,1985,Small,Tier 1,Grocery Store,214
FDR28,13.85,Regular,0.025896485,Frozen Foods,165,OUT046,1997,Small,Tier 1,Supermarket Type1,4078
NCD06,13,Low Fat,0.099887103,Household,45,OUT017,2007,,Tier 2,Supermarket Type1,838
FDV10,7.645,Regular,0.066693437,Snack Foods,42,OUT035,2004,Small,Tier 2,Supermarket Type1,1065
DRJ59,11.65,low fat,0.019356132,Hard Drinks,39,OUT013,1987,High,Tier 3,Supermarket Type1,308
